report_name,report_date,report_url,pdf_url,pdf_choice_flag,summary
36 Fired MPD Officers Reinstated; Receive    $14 Million in Back Pay,2022-10-06,https://dcauditor.org/report/mpd-personnel-settlement-report,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/08/MPD.Personnel.Settlements.Report.10.6.22.pdf,matched_title,"36 MPD officers who were fired and successfully appealed their terminations were awarded a total of $20.6 million, with the District paying out $14.3 million in back pay after subtracting wages earned while terminated. The most common reason terminations were overturned was that arbitrators deemed the punishment excessive, compounded by MPD's failure to meet deadlines, follow procedures, and provide adequate evidence; on average these reinstatement cases lasted nearly eight years. As of September 2022, 15 of the 37 reinstated officers reviewed were still employed at MPD, including three who had been terminated for misconduct classified as a Threat to Safety."
Multiple Failures in Department of General Services Management of Work Orders,2022-11-28,https://dcauditor.org/report/dgs-management-work-orders,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/08/DSG.Work_.Order_.Report.11.28.22.pdf,matched_title,"DGS's work order management had serious deficiencies, including the capture of only about 10% of actual expenditures in its Computerized Maintenance Management System (CMMS), widespread failure to meet mandatory response times (62% of high-priority work orders were not completed within the required 10 days), and inadequate documentation such as missing or falsified site photos. No comprehensive preventative maintenance program had been implemented, and key performance indicators were not consistently monitored or reported."
D.C. Forensics Lab Fails to Achieve Independence,2022-12-01,https://dcauditor.org/report/d-c-forensics-lab-fails-to-achieve-independence,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/08/DFS.Legislative.Review.12.1.22.pdf,matched_title,"The D.C. Council failed to provide the Science Advisory Board with adequate resources or staff support to effectively oversee the Department of Forensic Sciences' (DFS) independence, and approved regulations that contradicted the authorizing statute. The Stakeholder Council did not function as intended, key DFS customers bypassed established processes and conducted unilateral investigations that undermined agency independence, and DFS itself failed to manage customer relationships or comply with regulations and industry standards — contributing to the loss of its accreditation in 2021."
Vision Zero Part I: DDOT Made Progress on Engineering & Equity but Gaps Remain,2023-03-16,https://dcauditor.org/report/vision-zero-part-i-ddot-made-progress-on-engineering-equity-but-gaps-remain,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/08/Vision.Zero_.Part-I.3.16.23.pdf,matched_title,"DDOT conducted safety studies that identified the District's most dangerous roadways but failed to consolidate findings into a comprehensive database for targeting and tracking traffic safety investments, delaying action to mitigate traffic danger. While DDOT made progress toward incorporating equity into its FY 2023 capital project selection, it lacked effective systems to document equity data on completed projects and had not implemented the equity goal for smaller Traffic Safety Investigation projects. Traffic fatalities in DC rose steadily since the Vision Zero Initiative launched in 2015, with disproportionate impacts in majority-Black Wards 7 and 8, which accounted for half of all fatalities from 2019 through 2021."
Multiple Failures in Roosevelt High School HVAC System,2023-03-30,https://dcauditor.org/report/7674,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/08/School.Modernization.Roosevelt.High_.3.30.23-2.pdf,matched_title,"Following a $136 million modernization of Roosevelt Senior High School completed in 2016, the newly installed variable refrigerant flow (VRF) HVAC system experienced persistent failures every year, resulting in frequent outages, loss of heating and cooling throughout the facility, and over $2 million spent on repairs and maintenance. Despite DGS engaging multiple third-party vendors and conducting numerous assessments, no single root cause was identified — rather, a combination of contributing factors, including the use of mechanical fittings contrary to manufacturer specifications, drove the ongoing failures, with months or years elapsing between the identification of issues and remediation efforts."
COVID-19 & Behavioral Health in the District of Columbia,2023-04-20,https://dcauditor.org/report/covid-19-behavioral-health-in-the-district-of-columbia,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/08/COVID19.Behavioral.Health.D.C.4.20.23.Web_.pdf,matched_title,"The COVID-19 pandemic significantly worsened behavioral health conditions in Washington, D.C., with mental health diagnoses rising 15% above baseline and crisis/suicide calls to the D.C. Department of Behavioral Health Access Helpline increasing by more than 200% in the first year alone. Fatal opioid-related overdoses peaked at 45% above expected levels during the pandemic, while fragmented and siloed data systems across the District made it difficult to fully measure the scope of increased need for behavioral health services."
D.C. Nursing Homes Saw Better Outcomes than Elsewhere During Early COVID-19 Waves,2023-06-28,https://dcauditor.org/report/d-c-nursing-homes-saw-better-outcomes-than-elsewhere-during-early-covid-19-waves,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/08/COVID.Nursing.Homes_.DC_.6.28.23.Web_-2.pdf,matched_title,"During the early waves of the COVID-19 pandemic (March 2020 through October 2021), D.C. nursing homes experienced lower resident case and death rates compared to the national average, particularly in the late summer and early fall of 2020, and also had lower staff case rates than the national average prior to the Alpha wave. Resident and healthcare personnel vaccination rates in D.C. were above the national average, though similar to surrounding jurisdictions."
NEAR Act Police Reforms Advance Procedural Justice but Data Initiatives Stall,2023-09-14,https://dcauditor.org/report/near-act-police-reforms-advance-procedural-justice-but-data-initiatives-stall,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/11/NEAR.Act_.2.Report.9.14.23.Web_.pdf,matched_title,"DC's NEAR Act police reform provisions aimed at procedural justice — including a narrowed definition of assault on a police officer, expanded oversight authority for the Office of Police Complaints, and mandatory officer training — were largely implemented as intended, resulting in sharply reduced APO arrests and stronger independent accountability mechanisms. However, data-driven reforms meant to boost transparency and inform evidence-based policing policy fell short: stop and frisk data went unused to address racial disparities, felony crime reports lagged years behind schedule, and a community policing working group and homicide task force both faltered due to low official engagement. Meanwhile, the Department of Forensic Sciences relied on retired MPD officers to staff its crime scene division rather than achieving its goal of full civilian staffing."
Assessment of the DCPS Technology Plan 2023–2026,2023-10-06,https://dcauditor.org/report/assessment-of-the-dcps-technology-plan-2023-2026,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/11/DCPS.Technology.Plan_.Report.10.6.23.pdf,matched_title,"The DCPS Technology Plan 2023–2026 addressed 11 of 15 legal requirements under the DCPS Digital Equity Act of 2022, falling short on four items including details on out-of-school internet access, complete strategies tied to the vision and goals, per-school device counts and conditions, and delineation of responsibilities among DCPS, OCTO, DC-Net, and the Department of General Services. The plan was developed through a broadly inclusive process involving internal and external technology experts, parent and teacher stakeholder engagement, and a Technology Advisory Committee that reviewed and influenced multiple draft versions."
Audit of Advisory Neighborhood Commission 5E,2023-12-15,https://dcauditor.org/report/audit-of-advisory-neighborhood-commission-5e,https://dcauditor.wpenginepowered.com/wp-content/uploads/2023/12/ANC5E.Report.12.15.23.Web_-2.pdf,matched_title,"ANC 5E, which covers parts of Ward 5 in Northwest and Northeast D.C., complied with most D.C. Code requirements during fiscal years 2020–2022 but forfeited $37,580 — nearly half its total allotments — due to missing documentation, unapproved quarterly reports, failure to participate in the ANC Security Fund in 2022, and late or absent report submissions. The compliance failures were attributable to the prior set of commissioners rather than those currently serving, and weaknesses were concentrated in documentation practices and internal financial controls."
